spelling,pronunciation,freq,syllables
a,8,1041179,1
a,e,1041179,1
aah,a,2688,1
aardvark,ardvark,21,2
aaron,Eren,747,2
ab,@b,75,1
abacus,@bekes,12,3
abandon,eb@nden,413,3
abandoned,eb@ndend,678,3
abandoning,eb@nden1N,86,4
abandonment,eb@ndenment,49,4
abbey,@bi,162,2
abbot,@bet,43,2
abbott,@bet,401,2
abby,@bi,637,2
abdomen,@bdemen,171,3
abdominal,@bdamenel,174,4
abducted,@bd^kt1d,255,3
abducted,ebd^kt1d,255,3
abduction,@bd^kSen,185,3
abduction,ebd^kSen,185,3
abductions,@bd^kSenz,42,3
abel,8bel,68,2
abide,eb5d,138,2
abigail,@beg8l,154,3
abilene,@belin,68,3
abilities,eb1letiz,312,4
ability,eb1leti,980,4
able,8bel,8155,2
abner,@bn3r,172,2
abnormal,@bncrmel,148,3
aboard,ebcrd,1358,2
abominable,ebamenebel,32,5
abomination,ebamen8Sen,58,5
abort,ebcrt,235,2
abortion,ebcrSen,369,3
about,ebOt,185206,2
above,eb^v,2493,2
abracadabra,@breked@bre,53,5
abraham,8breh@m,264,3
abrasions,ebr8Zenz,56,3
abroad,ebrcd,250,2
abrupt,ebr^pt,58,2
abruptly,ebr^ptli,45,3
abs,@bz,54,1
absence,@bsens,322,2
absent,@bsent,131,2
absolute,@bselut,577,3
absolutely,@bselutli,5769,4
absolution,@bseluSen,48,4
absorb,ebzcrb,101,2
absorbed,ebzcrbd,78,2
abstain,ebst8n,26,2
abstinence,@bstenens,45,3
abstract,@bstr@kt,111,2
absurd,ebs3rd,495,2
abundance,eb^ndens,45,3
abuse,ebjus,523,2
abuse,ebjus,523,2
abuse,ebjuz,523,2
abuse,ebjuz,523,2
abused,ebjuzd,231,2
abusing,ebjuz1N,61,3
abusive,ebjus1v,83,3
abyss,eb1s,90,2
academic,@kedEm1k,238,4
academy,ek@demi,633,4
acapulco,@kepUlko,82,4
accelerando,@ksEler@ndo,3,5
accelerate,@ksEl3r8t,65,4
accelerated,@ksEl3r8ted,49,5
accelerating,@ksEl3r8t1N,45,5
acceleration,@ksEl3r8Sen,44,5
accelerator,@ksEl3r8t3r,69,5
accent,eksEnt,621,2
accents,@ksEnts,58,2
accept,@ksEpt,2692,2
accept,eksEpt,2692,2
acceptable,eksEptebel,269,4
acceptance,@ksEptens,161,3
acceptance,eksEptens,161,3
accepted,@ksEpt1d,801,3
accepting,@ksEpt1N,206,3
accepting,eksEpt1N,206,3
accepts,@ksEpts,106,2
accepts,eksEpts,106,2
access,@ksEs,1615,2
accessed,@ksEst,78,2
accessible,@ksEsebel,56,4
accessing,@ksEs1N,53,3
accessories,@ksEs3riz,76,4
accessory,@ksEs3ri,147,4
accident,@ksedent,4146,3
accidental,@ksedEntel,153,4
accidentally,@ksedEnteli,449,5
accidents,@ksedents,340,3
accolade,@kel8d,1,3
accommodate,ekamed8t,109,4
accommodation,ekamed8Sen,48,5
accommodations,ekamed8Senz,85,5
accompanied,ek^mpenid,105,4
accompany,ek^mpeni,242,4
accompanying,ek^mpeni1N,47,5
accomplice,ekamples,216,3
accomplices,ekamplesez,58,4
accomplish,ekampl1S,298,3
accomplished,ekampl1St,384,3
accomplishment,ekampl1Sment,96,4
accomplishments,ekampl1Sments,81,4
accord,ekcrd,83,2
accordance,ekcrdens,81,3
according,ekcrd1N,2135,3
